M,R,Teff,L,Meta,logg,Prot,Age
1.263,1.472,6444,3.568,-0.065,4.203,23.6,2.579
1.425,1.84,6262,4.758,0.219,4.061,8.98,2.583
1.55,2.34,6630,8.694,-0.04,3.89,5.66,2.6
1.344,1.693,6433,4.083,-0.028,4.109,6.68,2.605
1.262,1.425,6333,3.188,0.057,4.23,6.79,2.624
1.378,1.896,6437,9.234,-0.106,4.017,3.24,2.642
1.3,1.726,6578,3.12,-0.251,4.076,11.2,2.649
1.22,1.388,6343,2.854,-0.016,4.239,7.873,2.649
1.399,1.917,6278,5.158,-0.049,4.018,10.68,2.742
1.321,1.656,6407,4.198,-0.033,4.12,11.88,2.746
1.305,1.709,6488,3.867,-0.167,4.087,11.44,2.748
1.3,1.559,6374,3.626,0.018,4.165,10.21,2.748
1.385,2.475,6343,11.52,-0.157,3.791,7.45,2.76
1.354,2.341,6503,10.56,-0.244,3.83,4.32,2.788
1.444,1.981,6119,5.599,0.148,3.999,15.46,2.795
1.43,1.92,6856,6.537,-0.12,4.029,4.25,2.8
1.27,1.48,6495,3.473,-0.02,4.198,7.98,2.8
1.373,2.342,6438,8.356,-0.152,3.836,16.49,2.804
1.378,2.619,6182,11.38,-0.209,3.739,5.43,2.808
1.339,1.789,6407,4.628,-0.125,4.059,5.19,2.809
1.291,1.775,6550,5.837,-0.307,4.048,10.34,2.812
1.37,1.711,6246,4.782,0.195,4.107,3.55,2.818
1.336,2.142,6601,8.646,-0.264,3.903,16.54,2.828
1.322,1.657,6345,4.239,0.025,4.12,6.55,2.875
1.202,1.313,6270,2.397,-0.045,4.281,23.147,2.877
1.214,1.364,6306,2.682,-0.004,4.251,7.96,2.903
1.403,1.905,6174,4.74,0.14,4.019,14.69,2.947
1.271,1.64,6432,6.48,-0.187,4.111,3.17,2.965
1.23,1.765,6923,6.189,-0.584,4.033,12.52,3.003
1.39,1.877,6130,4.252,-0.019,4.033,20.23,3.011
1.349,1.767,6227,4.012,0.092,4.073,11.24,3.041
1.389,2.291,6277,8.698,-0.004,3.859,5.53,3.052
1.272,1.424,6169,2.655,0.131,4.234,7.88,3.054
1.119,1.183,6178,1.909,-0.056,4.341,5.42,3.072
1.363,2.122,6321,6.879,0.17,3.92,17.05,3.084
1.34,1.64,6356,4.22,0.1,4.131,10.97,3.1
1.5,2.34,6322,9.416,0.14,3.863,6.59,3.1
1.35,1.74,6506,4.674,0.07,4.08,11.74,3.1
1.302,2.112,6501,7.422,-0.297,3.903,12.37,3.103
1.298,1.746,6359,4.715,-0.123,4.063,14.59,3.112
1.416,2.477,5990,7.756,0.129,3.8,18.79,3.113
1.237,1.448,6285,3.143,-0.011,4.207,6.76,3.125
1.271,2.054,6594,6.876,-0.397,3.916,16.18,3.146
1.39,1.92,6606,6.48,0.0,4.008,3.25,3.2
1.252,1.482,6241,2.704,0.039,4.193,12.75,3.209
1.326,2.11,6370,6.862,-0.118,3.912,10.62,3.273
1.38,1.95,6520,5.685,0.0,3.988,11.3,3.3
1.43,2.27,6836,11.33,0.1,3.885,4.38,3.3
1.338,2.285,6237,8.655,-0.136,3.845,12.63,3.302
1.132,1.312,6435,2.61,-0.294,4.255,6.52,3.334
1.206,1.378,6211,3.33,0.038,4.24,21.5,3.355
1.315,1.663,6129,3.486,0.137,4.114,14.09,3.398
1.46,2.6,6350,11.16,-0.08,3.776,4.87,3.4
1.38,1.96,6482,6.917,0.06,3.99,2.43,3.4
1.38,1.82,6237,14.37,-0.18,4.059,9.28,3.4
1.272,1.706,6279,4.404,-0.074,4.074,17.99,3.424
1.362,2.248,6132,6.92,0.06,3.868,11.6,3.426
1.362,2.187,6166,7.67,0.073,3.893,12.99,3.433
1.276,1.621,6182,3.351,0.025,4.123,15.22,3.483
1.347,2.176,6176,6.423,0.049,3.891,18.86,3.502
